606
    0.0000    0.0000    0.0000  200.0000
 2000.0000    0.0000 2000.0000  200.0000
    0.0000    0.0000 2000.0000    0.0000
    0.0000  200.0000    0.0000  500.0000
 2000.0000  200.0000 2000.0000  500.0000
    0.0000  500.0000 2000.0000  500.0000
   12.9046    0.0000   43.4081  148.9848
   49.3283    0.0000   84.2549  175.2899
   64.3513   40.8665  101.2281  266.9992
   62.0164   85.6464   99.5255  297.4133
   74.2415  174.2358  119.4974  403.4376
   36.4116  112.6818   74.8107  321.2206
    6.4902  260.2085   47.7676  473.8878
   73.9898  296.2563  107.1204  500.0000
   46.5132  378.3624   69.5417  500.0000
   45.4228  378.2421   70.2900  500.0000
  121.7823    0.0000  153.3738  157.1735
  102.6647    0.0000  136.4719  168.4138
  101.2263   40.9495  143.0217  264.0508
  134.0933   44.6714  175.7569  267.2836
  152.8315  157.1331  197.0987  369.8252
  140.8970  121.2465  188.3236  334.6882
  109.8998  246.8552  158.0158  467.7187
   84.0523  223.9091  123.8109  457.1060
  154.5587  330.6822  185.3565  500.0000
  108.1590  365.6294  133.0452  500.0000
  276.2689    0.0000  303.8379  139.5947
  267.6116    0.0000  292.4698  127.4084
  264.2372   10.0177  308.2285  230.2809
  239.5360   70.1303  282.8213  286.4749
  205.0731  100.3882  242.2126  304.8534
  220.2114  189.6020  260.2890  374.2183
  210.2489  258.3444  252.3911  474.2122
  181.8930  264.6030  218.8338  490.0376
  192.4269  301.6225  232.1979  500.0000
  231.7213  339.8371  260.2440  500.0000
  305.6635    0.0000  335.2052  159.0619
  365.2351    0.0000  389.7871  119.7583
  292.4947   58.6281  330.8917  284.7795
  320.3150   60.5158  358.9166  256.3295
  305.2084  156.5469  348.2439  380.3331
  344.2027  144.0669  383.3299  353.6625
  349.1018  221.1721  388.7206  420.0997
  295.6083  224.2195  338.9718  435.8783
  326.5403  370.8230  354.0170  500.0000
  352.4054  376.9400  375.2034  500.0000
  461.8506    0.0000  497.1144  193.3335
  451.1885    0.0000  474.3602  126.4481
  418.2842   14.1026  464.5795  236.1468
  458.7086   33.2677  502.4051  274.3458
  387.6215  162.9883  429.1563  375.0497
  469.0781  172.0149  511.4608  384.2539
  477.2988  237.7962  511.5873  447.7651
  447.2694  233.9021  481.7368  429.5979
  439.0387  376.1548  463.3383  500.0000
